epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2283.76,0.68427,0.36307,0.81142,0.9312,0.80494,0.86272,0.64631,0.64768,0.36611,0.81532,0.00091175,0.00091175,0.00091175
43,2338.84,0.69295,0.36942,0.81657,0.85242,0.8093,0.84249,0.62431,0.68482,0.37614,0.81976,0.0009035,0.0009035,0.0009035
44,2394.32,0.70937,0.3799,0.81187,0.91163,0.79331,0.85576,0.62162,0.66955,0.37887,0.81979,0.00089525,0.00089525,0.00089525
45,2445.89,0.70172,0.39098,0.81663,0.91407,0.83036,0.86031,0.63905,0.66702,0.37831,0.81805,0.000887,0.000887,0.000887
46,2503.2,0.6938,0.38778,0.81123,0.89904,0.81981,0.85559,0.63339,0.66135,0.38599,0.8174,0.00087875,0.00087875,0.00087875
47,2558.45,0.6579,0.36764,0.81443,0.90684,0.82479,0.86077,0.63958,0.65305,0.35839,0.81774,0.0008705,0.0008705,0.0008705
48,2613.58,0.69092,0.37207,0.81468,0.84828,0.83746,0.85561,0.62953,0.6622,0.38991,0.81787,0.00086225,0.00086225,0.00086225
49,2669.12,0.73376,0.38935,0.81758,0.85242,0.84069,0.86213,0.60882,0.7318,0.39765,0.82446,0.000854,0.000854,0.000854
50,2724.29,0.70243,0.37989,0.81614,0.88033,0.81229,0.86075,0.63939,0.68182,0.39086,0.82032,0.00084575,0.00084575,0.00084575
51,2779.71,0.69318,0.367,0.81101,0.90242,0.81806,0.86855,0.64126,0.69459,0.38283,0.81715,0.0008375,0.0008375,0.0008375
52,2832.41,0.70718,0.3685,0.81878,0.92306,0.82292,0.87481,0.63328,0.70036,0.38251,0.82219,0.00082925,0.00082925,0.00082925
53,2888.33,0.66975,0.36592,0.809,0.94262,0.80219,0.86977,0.63667,0.68308,0.3732,0.81968,0.000821,0.000821,0.000821
54,2940.16,0.64954,0.35455,0.80708,0.96061,0.8135,0.86529,0.62542,0.68272,0.38441,0.8172,0.00081275,0.00081275,0.00081275
55,2997,0.65387,0.35499,0.80949,0.90802,0.82095,0.86921,0.63644,0.65443,0.36023,0.81693,0.0008045,0.0008045,0.0008045
56,3052.07,0.66735,0.35863,0.81183,0.90525,0.79513,0.86062,0.63538,0.64575,0.36657,0.81634,0.00079625,0.00079625,0.00079625
57,3107.45,0.65213,0.34588,0.80957,0.89626,0.84886,0.87,0.63805,0.65051,0.35321,0.8148,0.000788,0.000788,0.000788
58,3159.18,0.65301,0.34475,0.80721,0.89018,0.84154,0.86599,0.6294,0.66823,0.36263,0.81727,0.00077975,0.00077975,0.00077975
59,3214.04,0.6377,0.33869,0.80821,0.89826,0.83027,0.86798,0.64007,0.66512,0.36691,0.81817,0.0007715,0.0007715,0.0007715
60,3269.32,0.68496,0.3587,0.81123,0.89235,0.81797,0.85801,0.62436,0.67172,0.37589,0.8191,0.00076325,0.00076325,0.00076325
61,3324.79,0.68324,0.36174,0.80939,0.86208,0.83655,0.85818,0.62511,0.67943,0.38065,0.82148,0.000755,0.000755,0.000755
62,3376.45,0.68175,0.3579,0.81081,0.91732,0.80859,0.86145,0.62175,0.66786,0.37922,0.81863,0.00074675,0.00074675,0.00074675
63,3427.32,0.67926,0.36081,0.80806,0.89566,0.81179,0.86952,0.64346,0.6548,0.36223,0.8178,0.0007385,0.0007385,0.0007385
64,3483.34,0.66982,0.35451,0.80891,0.91959,0.80171,0.8661,0.63437,0.69605,0.37874,0.81796,0.00073025,0.00073025,0.00073025
65,3534.08,0.65107,0.34912,0.80854,0.92146,0.83689,0.87221,0.64945,0.65612,0.35866,0.81947,0.000722,0.000722,0.000722
66,3585.88,0.65053,0.34402,0.80886,0.90267,0.82839,0.87342,0.65522,0.6439,0.35835,0.81822,0.00071375,0.00071375,0.00071375
67,3640.82,0.64729,0.33797,0.80827,0.92587,0.82001,0.87445,0.64942,0.65235,0.34428,0.81715,0.0007055,0.0007055,0.0007055
