epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,937.014,1.04598,0.62441,0.8627,0.86635,0.72746,0.79095,0.48814,1.02429,0.58695,0.86788,0.000742625,0.000742625,0.000742625
43,959.166,1.04554,0.61207,0.85588,0.85999,0.74094,0.79769,0.50502,1.00988,0.59072,0.86493,0.00073025,0.00073025,0.00073025
44,981.386,1.02857,0.60327,0.85867,0.84949,0.72244,0.78879,0.48839,1.03688,0.59687,0.86833,0.000717875,0.000717875,0.000717875
45,1003.42,1.04507,0.62283,0.85792,0.8249,0.73576,0.79312,0.49415,1.04377,0.59663,0.86834,0.0007055,0.0007055,0.0007055
46,1025.56,1.03362,0.60523,0.85659,0.86913,0.76582,0.8047,0.50623,1.02324,0.5766,0.86615,0.000693125,0.000693125,0.000693125
47,1047.73,1.04048,0.6103,0.85873,0.84475,0.73136,0.78357,0.49176,1.02403,0.58622,0.86779,0.00068075,0.00068075,0.00068075
48,1069.94,1.05257,0.61523,0.85147,0.85899,0.7617,0.80492,0.49978,1.01689,0.57331,0.8655,0.000668375,0.000668375,0.000668375
49,1092.19,1.03642,0.60454,0.85656,0.84413,0.72247,0.79064,0.50044,1.01565,0.57747,0.86679,0.000656,0.000656,0.000656
50,1114.43,1.04612,0.60493,0.85548,0.86511,0.75526,0.80344,0.50812,1.00281,0.56342,0.86416,0.000643625,0.000643625,0.000643625
51,1136.53,1.03187,0.58782,0.85888,0.80523,0.75708,0.78106,0.48468,1.04032,0.58167,0.86778,0.00063125,0.00063125,0.00063125
52,1158.8,1.09182,0.61516,0.86436,0.83491,0.76357,0.79642,0.49813,1.01967,0.58221,0.86277,0.000618875,0.000618875,0.000618875
53,1181,1.06052,0.60459,0.85327,0.85125,0.7562,0.80406,0.50306,1.02568,0.56963,0.86201,0.0006065,0.0006065,0.0006065
54,1203.1,1.04014,0.60234,0.85779,0.85872,0.71863,0.79406,0.50515,0.99797,0.57429,0.86085,0.000594125,0.000594125,0.000594125
55,1225.24,1.02762,0.58605,0.85348,0.93249,0.7457,0.82285,0.51641,0.99869,0.54835,0.85987,0.00058175,0.00058175,0.00058175
56,1247.54,1.00011,0.57155,0.84775,0.86864,0.76062,0.81209,0.51934,1.0101,0.5528,0.86226,0.000569375,0.000569375,0.000569375
57,1269.62,1.00007,0.56239,0.84877,0.84101,0.77337,0.8113,0.51629,1.01332,0.55841,0.86198,0.000557,0.000557,0.000557
58,1291.77,1.02665,0.57632,0.84723,0.91046,0.76185,0.81428,0.50812,1.01772,0.55464,0.86485,0.000544625,0.000544625,0.000544625
59,1313.93,1.05122,0.58986,0.85546,0.85608,0.77534,0.80409,0.50027,1.0197,0.56435,0.86519,0.00053225,0.00053225,0.00053225
60,1336.58,1.03031,0.57414,0.85149,0.79905,0.77837,0.80903,0.51569,1.01586,0.56188,0.86258,0.000519875,0.000519875,0.000519875
61,1361.72,1.06529,0.59149,0.85708,0.83418,0.72548,0.79245,0.49324,1.08884,0.58648,0.86951,0.0005075,0.0005075,0.0005075
62,1385.02,1.04217,0.58064,0.85388,0.89405,0.76251,0.81943,0.51744,0.99506,0.54835,0.85998,0.000495125,0.000495125,0.000495125
63,1407.03,0.99771,0.56904,0.8471,0.91224,0.74704,0.82335,0.5062,1.00217,0.55459,0.86016,0.00048275,0.00048275,0.00048275
64,1429.64,1.01155,0.57584,0.85098,0.8847,0.76342,0.81746,0.51238,1.00966,0.54968,0.86073,0.000470375,0.000470375,0.000470375
65,1452.38,1.00857,0.57038,0.84814,0.85217,0.78719,0.80948,0.51315,0.99838,0.54478,0.85939,0.000458,0.000458,0.000458
66,1476.44,0.98873,0.55392,0.84585,0.8883,0.7275,0.80748,0.50467,1.00259,0.55054,0.85887,0.000445625,0.000445625,0.000445625
