epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3056.91,0.77923,0.40418,0.85,0.75056,0.79362,0.82055,0.54351,0.94878,0.51449,0.95356,0.000900844,0.000900844,0.000900844
43,3124.48,0.78091,0.40847,0.85143,0.85351,0.78408,0.82234,0.55696,0.90776,0.47729,0.93759,0.000896127,0.000896127,0.000896127
44,3189.94,0.76295,0.40316,0.84938,0.86899,0.76982,0.83061,0.55402,0.93014,0.48663,0.9397,0.000891313,0.000891313,0.000891313
45,3257.62,0.78094,0.41502,0.85787,0.90903,0.78652,0.83785,0.53436,0.94371,0.49581,0.93347,0.000886404,0.000886404,0.000886404
46,3323.14,0.78784,0.41237,0.85337,0.87863,0.69327,0.77713,0.51126,0.95345,0.52168,0.94693,0.000881401,0.000881401,0.000881401
47,3386.53,0.79198,0.41839,0.85573,0.847,0.78922,0.81215,0.51891,0.9328,0.49418,0.93574,0.000876305,0.000876305,0.000876305
48,3451.43,0.76153,0.40258,0.8476,0.83156,0.78964,0.81592,0.5245,0.94595,0.49335,0.94062,0.000871117,0.000871117,0.000871117
49,3517.69,0.74953,0.39576,0.85219,0.87554,0.76165,0.82682,0.54432,0.96345,0.49072,0.95576,0.000865839,0.000865839,0.000865839
50,3585.31,0.78085,0.40579,0.85357,0.84697,0.72945,0.80979,0.53033,0.94034,0.51698,0.94023,0.000860473,0.000860473,0.000860473
51,3648.88,0.75774,0.40019,0.84284,0.84941,0.7386,0.81671,0.52265,0.91757,0.46679,0.92992,0.000855018,0.000855018,0.000855018
52,3723.05,0.71997,0.38162,0.84032,0.76644,0.73541,0.78637,0.51568,0.95898,0.47291,0.95085,0.000849477,0.000849477,0.000849477
53,3790.66,0.72253,0.38235,0.83335,0.88284,0.79084,0.84994,0.55473,0.93122,0.47381,0.9341,0.000843851,0.000843851,0.000843851
54,3858.02,0.72847,0.38204,0.84172,0.88796,0.76775,0.82371,0.54174,0.94509,0.47508,0.93656,0.000838141,0.000838141,0.000838141
55,3948.54,0.73123,0.38521,0.83923,0.891,0.79511,0.84915,0.56725,0.93935,0.47339,0.93933,0.000832349,0.000832349,0.000832349
56,4015.85,0.70374,0.372,0.83405,0.89104,0.78765,0.85274,0.56316,0.90889,0.44563,0.92763,0.000826477,0.000826477,0.000826477
57,4083.62,0.69167,0.36344,0.83618,0.87024,0.79397,0.84182,0.54863,0.92463,0.46715,0.92712,0.000820525,0.000820525,0.000820525
58,4151.31,0.7033,0.37415,0.83665,0.85992,0.76339,0.84245,0.54492,0.93501,0.47776,0.93487,0.000814495,0.000814495,0.000814495
59,4219.06,0.69506,0.36189,0.83737,0.85712,0.82496,0.8445,0.55556,0.92608,0.44524,0.93643,0.000808389,0.000808389,0.000808389
60,4289.14,0.74076,0.38075,0.83827,0.88857,0.78568,0.83533,0.53827,0.95487,0.48008,0.93223,0.000802208,0.000802208,0.000802208
